2026-07-05 14:29:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:29:49 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:30:09 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:30:09 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:30:39 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:30:59 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:30:59 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:31:30 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:31:50 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:31:51 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:32:20 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:32:40 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:32:40 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:32:48 | WARNING | trading_bot | No se pudo crear salida inmediata para SOLUSD: 403 Client Error: Forbidden for url: https://paper-api.alpaca.markets/v2/orders
2026-07-05 14:33:10 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:33:30 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:33:30 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:34:00 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:34:20 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:34:20 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:34:50 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
2026-07-05 14:35:10 | INFO | trading_bot | Alpaca stream market-stocks closed for Paper: status=None msg=None
2026-07-05 14:35:10 | INFO | trading_bot | Alpaca stream trade_updates closed for Paper: status=None msg=None
2026-07-05 14:35:40 | INFO | trading_bot | Alpaca stream news closed for Paper: status=None msg=None
